"DATE", "UVINDEX"
20210101,14.2519084
20210102,14.22900763
20210103,14.22900763
20210104,14.2519084
20210105,13.1870229
20210106,13.10687023
20210107,14
20210108,14.20610687
20210109,14.20610687
20210110,14.20610687
20210111,14.22900763
20210112,14.22900763
20210113,14.22900763
20210114,14.27480916
20210115,14.22900763
20210116,14.2519084
20210117,14.2519084
20210118,14.29770992
20210119,14.29770992
20210120,14.27480916
20210121,14.18320611
20210122,14.20610687
20210123,14.22900763
20210124,14.29770992
20210125,13.89694656
20210126,14
20210127,14.22900763
20210128,14.22900763
20210129,14.22900763
20210130,14.29770992
20210131,14.2519084
20210201,14.2519084
20210202,14.29770992
20210203,14.22900763
20210204,14.20610687
20210205,14.22900763
20210206,14.29770992
20210207,14.22900763
20210208,14.32061069
20210209,14.29770992
20210210,14.20610687
20210211,14.18320611
20210212,14.27480916
20210213,14.29770992
20210214,14.34351145
20210215,14.29770992
20210216,14.34351145
20210217,14.32061069
20210218,14.34351145
20210219,13.67938931
20210220,13.5648855
20210221,11.8129771
20210222,12.00763359
20210223,11.90458015
20210224,12.64885496
20210225,13.04961832
20210226,13.08396947
20210227,13.55343511
20210228,11.80152672
20210301,11.84732824
20210302,13.01526718
20210303,13.09541985
20210304,12.5
20210305,13.30152672
20210306,12.96946565
20210307,9.067669173
20210308,9.428571429
20210309,12.35114504
20210310,8.947368421
20210311,8.616541353
20210312,9.318295739
20210313,11.48331745
20210314,8.897243108
20210315,8.736842105
20210316,8.796992481
20210317,10.29361296
20210318,8.395989975
20210319,8.07518797
20210320,7.954887218
20210321,10.52240229
20210322,7.894736842
20210323,7.634085213
20210324,9.103908484
20210325,7.654135338
20210326,7.032581454
20210327,7.233082707
20210328,10.68255481
20210329,7.13283208
20210330,7.353383459
20210331,7.142857143
20210401,10.13346044
20210402,6.992481203
20210403,6.701754386
20210404,8.646329838
20210405,6.771929825
20210406,7.082706767
20210407,6.972431078
20210408,9.469971401
20210409,7.012531328
20210410,6.631578947
20210411,6.060150376
20210412,8.920877026
20210413,6.15037594
